sector_rank,sector,sector_description,sector_company_count,sector_median_growth_score,sector_median_employee_cagr,sector_std_employee_cagr,sector_median_5yr_employee_cagr,sector_cagr_acceleration_pct,sector_median_revenue_cagr,sector_entry_rate_pct,sector_acquisition_pct,sector_avg_rounds_per_company,sector_median_3yr_followers_cagr,sector_rank_median_employee_cagr,sector_rank_acquisition_pct,sector_rank_median_revenue_cagr,sector_rank_avg_rounds_per_company,sector_rank_entry_rate_pct,thematic_rank,thematic_sector,thematic_sector_description,company_count,median_growth_score,median_employee_cagr,std_employee_cagr,median_5yr_employee_cagr,cagr_acceleration_pct,median_revenue_cagr,entry_rate_pct,acquisition_pct,avg_rounds_per_company,median_3yr_followers_cagr,rank_median_employee_cagr,rank_acquisition_pct,rank_median_revenue_cagr,rank_avg_rounds_per_company,rank_entry_rate_pct
1,Renewable Energy,"This sector encompasses companies developing, generating, storing, and distributing energy from sustainable sources like solar, wind, and bioenergy. They provide innovative technologies, infrastructure, and services, including heat pumps, EV charging, and grid solutions. Serving residential, commercial, industrial, and public sectors, these companies drive the global transition to a low-carbon, affordable, and resilient energy system. Their work is crucial for combating climate change and achieving net-zero targets.",189,0.013,12.8,19.5,13.1,-2.1,66.6,5.8,13.2,0.4021164,22.8,1,4,1,1,1,1,Smart Energy Storage & Grid Flexibility Solutions,"This cluster delivers advanced battery storage systems, smart electric vehicle charging infrastructure, and flexible energy generation solutions like clean hydrogen. They optimize energy flow, integrate intermittent renewables, and provide grid stability. Serving utilities, businesses, and end-users, their distinctiveness lies in creating a more resilient, efficient, and decarbonized energy grid.",27,0.037,19.8,25.6,33.3,-40.7,66.6,0,18.5,1.7037037,34.9,5,15,1,1,31
1,Renewable Energy,"This sector encompasses companies developing, generating, storing, and distributing energy from sustainable sources like solar, wind, and bioenergy. They provide innovative technologies, infrastructure, and services, including heat pumps, EV charging, and grid solutions. Serving residential, commercial, industrial, and public sectors, these companies drive the global transition to a low-carbon, affordable, and resilient energy system. Their work is crucial for combating climate change and achieving net-zero targets.",189,0.013,12.8,19.5,13.1,-2.1,66.6,5.8,13.2,0.4021164,22.8,1,4,1,1,1,2,Grid Integration & Optimization for Renewable Energy,"This segment focuses on critical infrastructure and smart technologies for integrating renewable energy into electricity grids. They provide high-voltage electrical engineering, grid connection services, and advanced asset optimization platforms. Their distinct role is ensuring grid stability, efficiency, and resilience for a decarbonized energy future.",15,0.019,18.2,15.6,12.8,42,null,0,0,0,29.6,8,196,null,180,31
1,Renewable Energy,"This sector encompasses companies developing, generating, storing, and distributing energy from sustainable sources like solar, wind, and bioenergy. They provide innovative technologies, infrastructure, and services, including heat pumps, EV charging, and grid solutions. Serving residential, commercial, industrial, and public sectors, these companies drive the global transition to a low-carbon, affordable, and resilient energy system. Their work is crucial for combating climate change and achieving net-zero targets.",189,0.013,12.8,19.5,13.1,-2.1,66.6,5.8,13.2,0.4021164,22.8,1,4,1,1,1,3,Utility-Scale Renewable Project Development and Asset Management,"These companies specialize in the end-to-end development, financing, construction, and operation of utility-scale renewable energy projects. They primarily focus on large-scale solar PV, wind farms, and integrated battery storage systems. Serving grid operators, industrial clients, and investors, they provide comprehensive lifecycle management and often act as Independent Power Producers (IPPs).",23,0.014,14.1,15.7,9.3,51.9,null,0,4.3,0.60869565,22.5,29,165,null,9,31
1,Renewable Energy,"This sector encompasses companies developing, generating, storing, and distributing energy from sustainable sources like solar, wind, and bioenergy. They provide innovative technologies, infrastructure, and services, including heat pumps, EV charging, and grid solutions. Serving residential, commercial, industrial, and public sectors, these companies drive the global transition to a low-carbon, affordable, and resilient energy system. Their work is crucial for combating climate change and achieving net-zero targets.",189,0.013,12.8,19.5,13.1,-2.1,66.6,5.8,13.2,0.4021164,22.8,1,4,1,1,1,4,Integrated Heat Pump & Building Thermal Solutions,"These companies specialize in the design, installation, and manufacturing of advanced renewable heating, cooling, and energy efficiency systems. They provide integrated solutions like heat pumps, smart controls, and insulation for residential, commercial, and industrial properties. Their distinctiveness lies in combining diverse technologies for comprehensive building decarbonization and optimal thermal management.",14,0.013,13,16.3,13.5,-4.1,null,0,14.3,0,21.6,43,32,null,180,31
1,Renewable Energy,"This sector encompasses companies developing, generating, storing, and distributing energy from sustainable sources like solar, wind, and bioenergy. They provide innovative technologies, infrastructure, and services, including heat pumps, EV charging, and grid solutions. Serving residential, commercial, industrial, and public sectors, these companies drive the global transition to a low-carbon, affordable, and resilient energy system. Their work is crucial for combating climate change and achieving net-zero targets.",189,0.013,12.8,19.5,13.1,-2.1,66.6,5.8,13.2,0.4021164,22.8,1,4,1,1,1,5,Integrated Renewable Energy Supply & Optimization,"These companies provide 100% renewable electricity and green gas to businesses and residential customers. They offer integrated solutions for optimizing energy consumption, installing on-site generation like solar and battery storage, and managing energy assets. Their goal is to empower end-users to reduce costs and carbon footprints through smart energy management and direct renewable supply.",12,0.015,13.2,16.7,11.8,12.1,null,0,8.3,0.08333333,18.4,39,108,null,96,31
1,Renewable Energy,"This sector encompasses companies developing, generating, storing, and distributing energy from sustainable sources like solar, wind, and bioenergy. They provide innovative technologies, infrastructure, and services, including heat pumps, EV charging, and grid solutions. Serving residential, commercial, industrial, and public sectors, these companies drive the global transition to a low-carbon, affordable, and resilient energy system. Their work is crucial for combating climate change and achieving net-zero targets.",189,0.013,12.8,19.5,13.1,-2.1,66.6,5.8,13.2,0.4021164,22.8,1,4,1,1,1,6,Renewable-Integrated Building Services & M&E Contractors,"These firms provide comprehensive mechanical, electrical, and facilities management services for commercial, industrial, and residential buildings. They specialize in integrating renewable energy technologies like solar PV, heat pumps, and EV charging directly into building systems. Their distinctive approach offers holistic, low-carbon solutions for the built environment.",22,0.013,13,11.5,13.1,-1.5,null,0,9.1,0.09090909,17.1,44,100,null,91,31
1,Renewable Energy,"This sector encompasses companies developing, generating, storing, and distributing energy from sustainable sources like solar, wind, and bioenergy. They provide innovative technologies, infrastructure, and services, including heat pumps, EV charging, and grid solutions. Serving residential, commercial, industrial, and public sectors, these companies drive the global transition to a low-carbon, affordable, and resilient energy system. Their work is crucial for combating climate change and achieving net-zero targets.",189,0.013,12.8,19.5,13.1,-2.1,66.6,5.8,13.2,0.4021164,22.8,1,4,1,1,1,7,Bioenergy & Organic Resource Recovery,"These companies transform diverse organic waste streams, agricultural by-products, and biomass into renewable energy like electricity, heat, biomethane, and biofuels. They serve industrial, agricultural, and municipal sectors by recovering valuable materials and co-products. Their distinct approach emphasizes circularity, diverting waste from landfills, and supplying sustainable energy and resources.",13,0.012,10.2,6.6,13.8,-26.6,null,0,23.1,0.30769231,23.2,111,4,null,25,31
1,Renewable Energy,"This sector encompasses companies developing, generating, storing, and distributing energy from sustainable sources like solar, wind, and bioenergy. They provide innovative technologies, infrastructure, and services, including heat pumps, EV charging, and grid solutions. Serving residential, commercial, industrial, and public sectors, these companies drive the global transition to a low-carbon, affordable, and resilient energy system. Their work is crucial for combating climate change and achieving net-zero targets.",189,0.013,12.8,19.5,13.1,-2.1,66.6,5.8,13.2,0.4021164,22.8,1,4,1,1,1,8,Specialized Wind Energy Asset Lifecycle Services,"These companies provide specialized engineering, construction, and operational support services for wind energy assets, primarily offshore wind farms. They offer comprehensive lifecycle solutions from resource assessment and installation to complex maintenance and component repair, utilizing advanced technologies and specialized equipment. They serve wind farm developers, operators, and utilities, ensuring optimal performance and longevity in challenging environments.",29,0.006,7.3,22.1,11.5,-36.3,null,3.4,20.7,0.27586207,17.1,184,8,null,33,1
1,Renewable Energy,"This sector encompasses companies developing, generating, storing, and distributing energy from sustainable sources like solar, wind, and bioenergy. They provide innovative technologies, infrastructure, and services, including heat pumps, EV charging, and grid solutions. Serving residential, commercial, industrial, and public sectors, these companies drive the global transition to a low-carbon, affordable, and resilient energy system. Their work is crucial for combating climate change and achieving net-zero targets.",189,0.013,12.8,19.5,13.1,-2.1,66.6,5.8,13.2,0.4021164,22.8,1,4,1,1,1,9,Renewable Energy & Sustainable Infrastructure Investment,"These firms provide specialized investment, financing, and asset management services for large-scale renewable energy and sustainable infrastructure projects. They enable the development and long-term operation of critical green assets for institutional investors and governments. Their distinction is deploying and managing significant capital for complex, long-lifecycle sustainable investments.",16,0.011,10.2,15.1,12.5,-19.1,null,0,18.8,0.0625,22.5,112,14,null,114,31
1,Renewable Energy,"This sector encompasses companies developing, generating, storing, and distributing energy from sustainable sources like solar, wind, and bioenergy. They provide innovative technologies, infrastructure, and services, including heat pumps, EV charging, and grid solutions. Serving residential, commercial, industrial, and public sectors, these companies drive the global transition to a low-carbon, affordable, and resilient energy system. Their work is crucial for combating climate change and achieving net-zero targets.",189,0.013,12.8,19.5,13.1,-2.1,66.6,5.8,13.2,0.4021164,22.8,1,4,1,1,1,10,Renewable Energy Scheme Administration & Quality Assurance,"These organizations provide essential governance and support services for the renewable energy sector. They administer government incentive schemes, manage contracts, ensure compliance, and establish quality standards for renewable technologies and installations. Serving policymakers, businesses, and consumers, they create a robust and trusted framework for renewable energy deployment and growth.",18,0.011,9.8,29.7,10,-2.4,null,0,11.1,0,28.6,124,69,null,180,31
